NOME_INSTITUICAO;SEGMENTO;PREFIXO;NOME_AGENCIA;ENDERECO;COMPLEMENTO ;BAIRRO;CEP;MUNICIPIO ;UF;DATA INICIO;DDD;FONE
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0011;EMPRESA JOAO PESSOA ;PCA.1817,129;1.ANDAR ;CENTRO;58013-010;JOAO PESSOA ;PB;01/04/1916;83;40033001
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0022;EMPRESA NATAL ;AV.RIO BRANCO,510 ;2.ANDAR ;CIDADE ALTA ;59025-900;NATAL ;RN;14/04/1917;84;40033001
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0036;MOSSORO ;PCA.VIGARIO ANTONIO JOAQUIM,22;;CENTRO;59600-520;MOSSORO ;RN;14/12/1918;84;33189100
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0063;EMPRESA CAMP.GRANDE ;R.SETE DE SETEMBRO,52 ;4.E 5.ANDARES ;CENTRO;58400-105;CAMPINA GRANDE;PB;22/10/1923;83;33102200
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0099;CAJAZEIRAS;R.CEL.JUVENCIO CARNEIRO,410 ;;CENTRO;58900-000;CAJAZEIRAS;PB;03/06/1938;83;35314370
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0128;CAICO ;AV.CEL.MARTINIANO,417 ;;CENTRO;59300-000;CAICO ;RN;15/06/1940;84;34211617
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0151;PATOS ;AV.EPITACIO PESSOA,76 ;TERREO;CENTRO;58700-020;PATOS ;PB;28/07/1941;83;34212702
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0164;ITABAIANA-PB;PCA.EPITACIO PESSOA,35;;CENTRO;58360-000;ITABAIANA ;PB;20/01/1942;83;32811300
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0200;GUARABIRA ;R.QUINZE DE NOVEMBRO,73 ;;CENTRO;58200-000;GUARABIRA ;PB;21/08/1942;83;40033001
BANCO DO BRASIL S.A.;Banco do Brasil - Banco Múltiplo;0214;ASSU;AV.SEN.JOAO CAMARA,243;;CENTRO;59650-000;ACU ;RN;21/11/1942;84;40033001
